user_id,text_original,likes_count,user_sex,user_age,text_lemmatized
3274205,"Я думал уже давно скрипт написали под эту ""игру""",0,m,31,я думать давно скрипт написать игра
141584114,"сколько вам нужно заплатить, чтобы это говно на лентаче больше не появлялось? (просто интересно)",2,m,None,сколько нужно заплатить это говно лентач появляться просто интересно
220775978,Вот и пришла ваша смерть 666,2,m,None,вот прийти ваш смерть
126650669,"А без надписи даже круто. Есть место другим пабликам мелким что-то нарисовать, а то заняли чуть ли не треть полотна какой-то непонятной по**отой",0,f,24,а надпись круто есть место другой паблик мелкий нарисовать занять треть полотно непонятный отой
408798795,Щас отпишусь. Надоело это гумно.,0,m,26,сейчас отписаться надоесть это гумно
121819739,Наконец-то последовал демонтаж этого недоразумения😁,1,m,None,последовать демонтаж
121819739,Наконец-то последовал демонтаж этого недоразумения.,0,m,None,последовать демонтаж недоразумение
55333486,"за себя говори, не бот он....",4,m,27,говорить бот
531060313,"[id55333486|Артём], нет , я марсианин",0,m,15,артём марсианин
502428604,"[id531060313|Степан], потом красиво в конце будет",1,m,29,степан красиво конец
94083282,"[id531060313|Степан], у лентача хватает ботов. чекни как ноль дефается пока мы фриками пропизживаем)",0,m,None,степан лентач хватать бот чёкнуть ноль дефаться пока фрик пропизживать
257039649,"[id94083282|Oleg], дефят люди, просто фрики не могут нормально цифры уничтожить...",0,m,None,oleg дефят человек просто фрик мочь нормально цифра уничтожить
400923561,"[id94083282|Oleg], Да, у братишкина 55к ботов щас на стриме двойку дефают",0,m,None,oleg да братишкин бот сейчас стрим двойка дефать
405472954,А че как бустеры приобрести? а?,0,m,None,а че бустер приобрести
23430962,"[id126034321|Александра], одно другому не мешает. Веселиться тоже нужно",49,f,None,александр один другой мешать веселиться нужно
196202102,"ты не понимаешь, ставить одну пиксельку в минуту это так занимательно",50,f,None,понимать ставить один пикселька минута это занимательный
171922116,разные люди делают посты. необходимая (важная) информация будет светиться у тебя в ленте,0,m,None,разный человек делать пост необходимый важный информация светиться лента
5500959,"[id23430962|Ольга], это весело?",3,m,29,ольга это весело
134173552,"[id126034321|Александра], значит их нет, логично?",0,m,None,александр значит логично
483212828,"[id126034321|Александра], как бы нам эта информация нада чтобы рисовать, это только тебе она не нужна",2,m,None,александр мы этот информация нада рисовать это ты нужный
214897498,"[id126034321|Александра], отписывайся",0,m,None,александр отписываться
303300138,"[id196202102|Кирилл],",0,m,None,кирилл
283506968,нытики пошли вон,1,m,None,нытик послать вон
10767514,,0,m,None,
502428604,"[id146882380|Никита], нет,я против, кстати я сын Путина",0,m,29,никита против кстати сын путин
146882380,"кстати я внук Земана, чешские ихтамнеты уже в дороге.",0,m,22,кстати внук земан чешский ихтамнета дорога
502428604,"[id146882380|Никита], даже не знаю кто это,так что откат,не надо ничего собирать",0,m,29,никита знать это откат собирать
